                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,             _timestamp,               _runtime
                     30,                 1.5357,                 0.8809,                  1.181,                0.85895,                 0.8125,                0.87717,                 0.5057,                 1.5941,                0.90865,                 1.2373,              0.0008516,              0.0008516,              0.0008516,             1.7211e+09,                    124
                     31,                  1.519,                0.86175,                 1.1788,                  0.866,                0.83816,                0.89673,                0.51752,                 1.5542,                0.89601,                 1.2175,               0.000812,               0.000812,               0.000812,             1.7211e+09,                    128
                     32,                 1.5506,                0.92429,                 1.2035,                 0.8503,                0.79429,                0.85874,                0.48295,                 1.6256,                0.99806,                 1.2917,              0.0007724,              0.0007724,              0.0007724,             1.7211e+09,                    131
                     33,                 1.5221,                0.85652,                 1.1981,                0.85876,                0.84272,                 0.8843,                0.48785,                 1.6464,                0.95559,                 1.2843,              0.0007328,              0.0007328,              0.0007328,             1.7211e+09,                    135
                     34,                 1.5714,                0.90281,                 1.2007,                0.85636,                0.80942,                 0.8796,                0.51332,                 1.5573,                0.90843,                 1.2246,              0.0006932,              0.0006932,              0.0006932,             1.7211e+09,                    138
                     35,                 1.5228,                0.86543,                 1.1651,                0.86984,                 0.8105,                0.88542,                0.50962,                 1.5993,                0.87978,                 1.2456,              0.0006536,              0.0006536,              0.0006536,             1.7211e+09,                    141
                     36,                 1.5065,                0.85189,                 1.1705,                0.86146,                0.81585,                0.88566,                0.51204,                 1.5521,                0.86744,                 1.2207,               0.000614,               0.000614,               0.000614,             1.7211e+09,                    145
                     37,                 1.4997,                0.85474,                 1.1825,                0.86389,                0.82616,                0.88605,                0.51074,                 1.5812,                0.87925,                 1.2352,              0.0005744,              0.0005744,              0.0005744,             1.7211e+09,                    149
                     38,                 1.5083,                0.84932,                 1.1778,                0.87214,                0.83444,                0.89685,                0.51985,                 1.5733,                0.85375,                 1.2268,              0.0005348,              0.0005348,              0.0005348,             1.7211e+09,                    152
                     39,                  1.498,                0.84951,                 1.1832,                0.85055,                0.81974,                0.87688,                0.48907,                 1.6198,                0.87339,                 1.2555,              0.0004952,              0.0004952,              0.0004952,             1.7211e+09,                    155
                     40,                 1.4804,                0.82563,                 1.1685,                 0.8778,                0.84437,                0.90525,                0.53343,                 1.5519,                0.81313,                 1.2062,              0.0004556,              0.0004556,              0.0004556,             1.7211e+09,                    159
                     41,                 1.4678,                0.87211,                 1.1704,                0.85722,                0.79884,                0.87472,                0.48665,                 1.6408,                0.90858,                 1.2384,               0.000416,               0.000416,               0.000416,             1.7211e+09,                    167
                     42,                 1.4388,                 0.8273,                 1.1583,                0.88382,                 0.8394,                0.89825,                0.50634,                 1.5578,                0.86713,                 1.2249,              0.0003764,              0.0003764,              0.0003764,             1.7211e+09,                    171
                     43,                 1.4125,                0.81241,                 1.1576,                0.87046,                0.83526,                0.89668,                0.50725,                 1.5655,                0.86087,                 1.2156,              0.0003368,              0.0003368,              0.0003368,             1.7211e+09,                    175
                     44,                 1.4152,                0.82078,                 1.1345,                0.86392,                0.79098,                0.86857,                0.49402,                 1.5734,                0.91554,                 1.2357,              0.0002972,              0.0002972,              0.0002972,             1.7211e+09,                    179
                     45,                 1.4297,                0.82454,                 1.1585,                0.87878,                 0.8452,                0.90334,                0.51485,                 1.5728,                0.90058,                 1.2277,              0.0002576,              0.0002576,              0.0002576,             1.7211e+09,                    182
                     46,                 1.4145,                0.78365,                 1.1519,                0.89411,                 0.8528,                0.91892,                0.54508,                 1.4887,                0.82636,                 1.1866,               0.000218,               0.000218,               0.000218,             1.7211e+09,                    186
                     47,                  1.413,                0.80408,                 1.1479,                0.87306,                0.85686,                0.91144,                0.53375,                  1.514,                0.83037,                 1.1999,              0.0001784,              0.0001784,              0.0001784,             1.7211e+09,                    189
                     48,                 1.3884,                0.77127,                 1.1433,                0.88165,                0.83982,                0.90576,                0.52744,                 1.5345,                0.82556,                 1.2095,              0.0001388,              0.0001388,              0.0001388,             1.7211e+09,                    193
                     49,                 1.4063,                0.77411,                 1.1424,                0.89143,                0.83606,                0.90974,                0.52653,                 1.5319,                0.81394,                 1.2068,               9.92e-05,               9.92e-05,               9.92e-05,             1.7211e+09,                    196
                     50,                 1.3788,                0.75918,                 1.1387,                 0.8867,                0.85838,                0.91786,                0.54039,                 1.5204,                0.79267,                 1.1932,               5.96e-05,               5.96e-05,               5.96e-05,             1.7211e+09,                    200
